alpha_id,expr,sharpe,fitness,turnover,ic_mean
EN7jkKG,"ts_regression (ts_zscore(cap,500), ts_zscore(capex,500),500,rettype = 6)",0.5,0.17,0.0269,0.001067
NLwdQZe,"ts_regression (ts_zscore(cap,500), ts_zscore(capex,500),500,rettype = 7)",-0.02,-0.0,0.0165,-0.000134
QOJxvdQ,"ts_regression (ts_zscore(cap,500), ts_zscore(capex,500),500,rettype = 8)",0.31,0.09,0.0172,0.001135
bJkmgrq,"ts_regression (ts_zscore(cap,500), ts_zscore(capex,500),500,rettype = 9)",0.68,0.34,0.0192,0.003244
W3qZvqj,"ts_regression (ts_zscore(cap,500), ts_zscore(debt,500),500,rettype = 0)",-0.18,-0.06,0.0767,-0.00032
ORY3mRY,"ts_regression (ts_zscore(cap,500), ts_zscore(debt,500),500,rettype = 1)",-0.19,-0.06,0.021,-0.001297
AeWAkqw,"ts_regression (ts_zscore(cap,500), ts_zscore(debt,500),500,rettype = 2)",0.29,0.09,0.0291,0.00074
R93g8Yg,"ts_regression (ts_zscore(cap,500), ts_zscore(debt,500),500,rettype = 3)",-0.03,-0.0,0.0329,-0.000162
QOJ83NG,"ts_regression (ts_zscore(cap,500), ts_zscore(debt,500),500,rettype = 4)",0.1,0.02,0.0158,0.000743
8Vowv67,"ts_regression (ts_zscore(cap,500), ts_zscore(debt,500),500,rettype = 5)",0.24,0.08,0.0151,0.002016
5rbXA61,"ts_regression (ts_zscore(cap,500), ts_zscore(debt,500),500,rettype = 6)",0.81,0.32,0.0305,0.001309
xV6Z5zq,"ts_regression (ts_zscore(cap,500), ts_zscore(debt,500),500,rettype = 7)",-0.13,-0.03,0.0181,-0.00095
pxXLkPv,"ts_regression (ts_zscore(cap,500), ts_zscore(debt,500),500,rettype = 8)",0.51,0.19,0.0183,0.001797
31bNKRP,"ts_regression (ts_zscore(cap,500), ts_zscore(debt,500),500,rettype = 9)",-0.09,-0.02,0.0268,-0.000645
Zg5OYm0,"ts_regression (ts_zscore(cap,500), ts_zscore(ebit,500),500,rettype = 0)",-0.28,-0.12,0.0715,-0.000614
EN79XW1,"ts_regression (ts_zscore(cap,500), ts_zscore(ebit,500),500,rettype = 1)",-0.1,-0.02,0.0158,-0.000947
