alpha_id,expr,sharpe,fitness,turnover,ic_mean
QWRA8EW,-is_nan(cash),0.52,0.22,0.0617,0.000717
VMQbkxA,-is_nan(cash_st),1.25,1.2,0.121,0.001893
9G5O1jV,-is_nan(cashflow),1.5,1.45,0.047,0.005008
R5xwqYe,-is_nan(cashflow_dividends),1.32,1.17,0.0441,0.004464
oPj09bb,-is_nan(cashflow_fin),1.49,1.49,0.0494,0.005057
7GPRdK2,-is_nan(cashflow_invst),1.49,1.5,0.0496,0.005072
zA7nkqO,-is_nan(cashflow_op),1.5,1.48,0.0467,0.005218
r0aMd63,-is_nan(debt_lt),1.66,1.68,0.0977,0.002631
J3aJW6e,-is_nan(debt_st),1.22,0.71,0.076,0.001124
6G6LQoL,-is_nan(depre_amort),0.88,0.6,0.0786,0.00149
XNZA31m,-is_nan(ebit),1.39,1.54,0.0398,0.007751
GQjjrlZ,-is_nan(ebitda),1.21,1.03,0.0354,0.005104
oPjjzOJ,-is_nan(employee),1.49,1.29,0.0561,0.003356
R5xxmqn,-is_nan(enterprise_value),0.72,0.33,0.0641,0.000804
xl77Wbq,-is_nan(eps),1.27,1.46,0.0756,0.004354
r0aaZKo,-is_nan(equity),1.2,1.11,0.1066,0.001996
PPLRNqJ,-is_nan(fnd6_acdo),1.72,1.74,0.0297,0.008656
PPLREqp,-is_nan(fnd6_acodo),1.67,1.73,0.0316,0.008516
bx0m2K6,-is_nan(fnd6_acox),1.63,1.61,0.0298,0.008151
ZXV87Gx,-is_nan(fnd6_acqgdwl),0.33,0.1,0.0186,0.001189
EmnjR7R,-is_nan(fnd6_acqintan),0.34,0.1,0.0186,0.001249
QWxZGNK,"(assets_curr-last_diff_value(assets_curr, 40))/last_diff_value(assets_curr, 40)",-0.86,-1.18,0.08,-0.005834
n6jxL8z,"(cash-last_diff_value(cash, 40))/last_diff_value(cash, 40)",-0.83,-1.03,0.0788,-0.004928
KVo35Y8,"(cashflow_op-last_diff_value(cashflow_op, 40))/last_diff_value(cashflow_op, 40)",-0.9,-1.27,0.0321,-0.015572
NKdm63p,"(fnd6_acdo-last_diff_value(fnd6_acdo, 40))/last_diff_value(fnd6_acdo, 40)",1.18,1.92,0.0159,0.041665
jVpnMYZ,"ts_zscore(ts_delta(cashflow_invst,10)/ts_delay(cashflow_invst,10),10)",1.33,0.85,0.6039,0.000819
d9MQAzX,"ts_zscore(ts_delta(enterprise_value,10)/ts_delay(enterprise_value,10),10)",-1.15,-0.4,0.6887,-0.000238
