alpha_id,expr,sharpe,fitness,turnover,ic_mean
0xbMkmk,rank(enterprise_value/cap),0.51,0.33,0.0472,0.002256
31Mexrg,"alpha1=group_rank(enterprise_value/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.59,0.27,0.0994,0.000539
ENZegXL,eps/cap,-0.31,-0.22,0.0647,-0.001982
qOK6A9P,rank(eps/cap),0.18,0.06,0.04,0.000775
xVKddom,"alpha1=group_rank(eps/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.31,0.1,0.0756,0.000331
GXqegd0,debt_lt/cap,0.84,1.0,0.0487,0.007279
Y8jgE5v,rank(debt_lt/cap),0.75,0.6,0.0366,0.004407
OR1xj5v,"alpha1=group_rank(debt_lt/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.84,0.51,0.1017,0.000908
OR1G1j7,assets_curr/cap,0.58,0.49,0.0533,0.003409
5rZpblk,rank(assets_curr/cap),0.48,0.31,0.0461,0.002287
GXqGokP,"alpha1=group_rank(assets_curr/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.76,0.48,0.1264,0.000784
nm1NNQw,goodwill/cap,0.7,0.59,0.0476,0.003743
mdP5mb6,rank(goodwill/cap),0.34,0.17,0.0383,0.001729
OR1G6JY,"alpha1=group_rank(goodwill/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.26,0.08,0.0953,0.000226
bJYQnjq,cash/cap,0.46,0.34,0.0583,0.002315
pxqNkY6,rank(cash/cap),0.24,0.1,0.0501,0.000949
Y8j7grA,"alpha1=group_rank(cash/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.37,0.15,0.1109,0.000347
KvK7rlk,income/cap,-0.41,-0.34,0.0686,-0.002574
LEP7zbL,rank(income/cap),0.25,0.12,0.0502,0.001057
31MlJK0,"alpha1=group_rank(income/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.49,0.19,0.0942,0.000389
AeR01Me,revenue/cap,0.9,0.98,0.0487,0.006149
0xbR3l1,rank(revenue/cap),0.74,0.63,0.0397,0.004581
8Vm3AXW,"alpha1=group_rank(revenue/cap,subindustry);alpha1-last_diff_value(alpha1,66)",1.47,1.14,0.1196,0.001262
LEP9qQL,cogs/cap,0.87,0.92,0.0498,0.005645
QO13nlM,rank(cogs/cap),0.72,0.56,0.0384,0.003885
W3EPpmP,"alpha1=group_rank(cogs/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.96,0.6,0.1132,0.00087
1OqxzMk,cashflow_op/cap,0.77,0.8,0.0464,0.005832
oR1666l,rank(cashflow_op/cap),0.61,0.48,0.037,0.0041
r915dO8,"alpha1=group_rank(cashflow_op/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.78,0.4,0.0915,0.000737
OR1rzRv,bookvalue_ps/cap,0.04,0.01,0.0503,0.000173
xVKYEMw,rank(bookvalue_ps/cap),-0.05,-0.01,0.035,-0.000179
ENZvPM1,"alpha1=group_rank(bookvalue_ps/cap,subindustry);alpha1-last_diff_value(alpha1,66)",-0.09,-0.02,0.0792,-0.000107
5rZz8N1,ppent/cap,0.94,1.24,0.0542,0.008019
jo5Avqe,rank(ppent/cap),0.69,0.54,0.042,0.003621
r91O6v1,"alpha1=group_rank(ppent/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.85,0.53,0.1114,0.00087
GXqb895,operating_expense/cap,0.86,0.91,0.0514,0.0055
1OqXg1K,rank(operating_expense/cap),0.71,0.56,0.0418,0.003777
PxJ2g7L,"alpha1=group_rank(operating_expense/cap,subindustry);alpha1-last_diff_value(alpha1,66)",1.1,0.75,0.1211,0.000948
Y8jblnl,inventory/cap,0.55,0.42,0.0524,0.002803
ZgRbNdx,rank(inventory/cap),0.54,0.33,0.0385,0.002359
vZKr71v,"alpha1=group_rank(inventory/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.81,0.43,0.0971,0.000722
r91OZo9,cashflow/cap,-0.28,-0.13,0.0466,-0.001235
VZv01l5,rank(cashflow/cap),-0.06,-0.01,0.0304,-0.000179
Mdj3mA6,"alpha1=group_rank(cashflow/cap,subindustry);alpha1-last_diff_value(alpha1,66)",-0.73,-0.34,0.052,-0.001064
zgvbX5V,sga_expense/cap,0.65,0.62,0.0528,0.004255
AeRvgqE,rank(sga_expense/cap),0.67,0.49,0.0434,0.003092
98zWRvK,"alpha1=group_rank(sga_expense/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.65,0.36,0.113,0.000672
AeRvGaw,debt_st/cap,0.51,0.41,0.0623,0.002592
AeRvN3E,rank(debt_st/cap),0.71,0.49,0.0454,0.002619
1OqZlLk,"alpha1=group_rank(debt_st/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.74,0.36,0.0953,0.000639
OR182mq,cash_st/cap,0.81,0.75,0.0562,0.003806
291j85w,rank(cash_st/cap),0.43,0.25,0.0446,0.001835
LEP5Ozn,"alpha1=group_rank(cash_st/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.79,0.45,0.1087,0.000756
31Mj6Oz,receivable/cap,1.22,1.36,0.0517,0.00604
Mdj0ka8,rank(receivable/cap),0.81,0.71,0.0465,0.004147
8VmvQEV,"alpha1=group_rank(receivable/cap,subindustry);alpha1-last_diff_value(alpha1,66)",1.36,1.03,0.1157,0.00123
W3ELLlN,return_equity/cap,-0.19,-0.12,0.0878,-0.001076
bJY8KWR,rank(return_equity/cap),0.47,0.24,0.0425,0.00149
OR1Jdzd,"alpha1=group_rank(return_equity/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.72,0.33,0.0815,0.00065
jo5Yz95,retained_earnings/cap,0.16,0.07,0.0604,0.000837
LEPMANM,rank(retained_earnings/cap),0.35,0.2,0.0489,0.001635
zgv3Q3d,"alpha1=group_rank(retained_earnings/cap,subindustry);alpha1-last_diff_value(alpha1,66)",-0.16,-0.04,0.1189,-0.000127
6ZndYeO,fnd6_fopo/cap,0.56,0.45,0.0465,0.00352
98zxww1,rank(fnd6_fopo/cap),0.69,0.4,0.031,0.002698
W3EO7Wx,"alpha1=group_rank(fnd6_fopo/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.76,0.37,0.0644,0.000922
1OqNjYM,income_tax/cap,-0.04,-0.01,0.0646,-0.000131
oR1ER1J,rank(income_tax/cap),0.47,0.27,0.0495,0.001709
QO1vzgW,"alpha1=group_rank(income_tax/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.6,0.24,0.086,0.000479
vZK1oja,liabilities_curr/cap,0.63,0.55,0.0494,0.003911
xVKr79N,rank(liabilities_curr/cap),0.64,0.48,0.0412,0.003476
QO101gK,"alpha1=group_rank(liabilities_curr/cap,subindustry);alpha1-last_diff_value(alpha1,66)",1.14,0.84,0.116,0.001162
PxJ595W,pretax_income/cap,-0.3,-0.21,0.0673,-0.001796
R9Je0we,rank(pretax_income/cap),0.32,0.17,0.0495,0.001409
mdPaAn6,"alpha1=group_rank(pretax_income/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.3,0.09,0.0979,0.000247
QO10YJK,cashflow_fin/cap,0.06,0.02,0.0463,0.000424
Y8jal3q,rank(cashflow_fin/cap),-0.36,-0.18,0.0301,-0.002182
XVjaMRl,"alpha1=group_rank(cashflow_fin/cap,subindustry);alpha1-last_diff_value(alpha1,66)",-1.07,-0.68,0.0607,-0.001662
aerap0w,income_beforeextra/cap,-0.37,-0.3,0.0687,-0.002339
AeRLKwX,rank(income_beforeextra/cap),0.24,0.11,0.0502,0.000991
1OqGVrR,"alpha1=group_rank(income_beforeextra/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.48,0.18,0.0943,0.000388
mdPKxXW,current_ratio/cap,-0.03,-0.01,0.0682,-0.000277
ENZmKPm,rank(current_ratio/cap),-0.09,-0.03,0.0356,-0.000704
0xbGXjr,"alpha1=group_rank(current_ratio/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.73,0.48,0.111,0.000967
5rZGGKM,sales_growth/cap,0.11,0.06,0.1,0.000654
OR162Ab,rank(sales_growth/cap),0.41,0.2,0.0662,0.000906
LEP8oY1,"alpha1=group_rank(sales_growth/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.46,0.18,0.0971,0.000407
2919rgY,return_assets/cap,0.15,0.1,0.0835,0.001258
ENZNXZm,rank(return_assets/cap),0.11,0.03,0.0421,0.000442
OR1RKYb,"alpha1=group_rank(return_assets/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.2,0.05,0.0853,0.000176
gXYXwbe,inventory_turnover/cap,-0.52,-0.41,0.0651,-0.002427
qOKOPGv,rank(inventory_turnover/cap),0.05,0.01,0.0408,0.000201
XVjVWJa,"alpha1=group_rank(inventory_turnover/cap,subindustry);alpha1-last_diff_value(alpha1,66)",-0.15,-0.04,0.091,-0.000169
pxqxvL6,sales_ps/cap,0.9,0.85,0.0443,0.005016
ENZNmRm,rank(sales_ps/cap),0.74,0.47,0.0303,0.003335
0xbxgpG,"alpha1=group_rank(sales_ps/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.83,0.49,0.0976,0.000907
qOKOw3v,cashflow_dividends/cap,0.83,0.73,0.0361,0.005338
vZKZEMb,rank(cashflow_dividends/cap),0.49,0.33,0.026,0.004431
NLXJxnq,"alpha1=group_rank(cashflow_dividends/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.66,0.31,0.075,0.000749
jo5PbwQ,invested_capital/cap,0.88,1.01,0.0508,0.006545
r91NE81,rank(invested_capital/cap),0.5,0.34,0.041,0.002775
VZvm2vA,"alpha1=group_rank(invested_capital/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.87,0.54,0.1161,0.000834
pxqM7Oq,fnd6_drlt/cap,1.0,0.87,0.0341,0.005553
bJYrOGK,rank(fnd6_drlt/cap),0.94,0.5,0.0204,0.00347
xVK2lEN,"alpha1=group_rank(fnd6_drlt/cap,subindustry);alpha1-last_diff_value(alpha1,66)",1.11,0.67,0.0505,0.001805
KvK52Pl,cashflow_invst/cap,-0.52,-0.45,0.0459,-0.003998
1Oql3Ez,rank(cashflow_invst/cap),-0.45,-0.21,0.0328,-0.001695
98zMzOK,"alpha1=group_rank(cashflow_invst/cap,subindustry);alpha1-last_diff_value(alpha1,66)",-0.47,-0.17,0.0669,-0.000491
1OqKe0R,employee/cap,0.93,1.13,0.05,0.007426
2916kzb,rank(employee/cap),0.5,0.34,0.0411,0.002743
ZgRzlJ1,"alpha1=group_rank(employee/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.33,0.12,0.0895,0.000382
eNlGLPz,working_capital/cap,0.21,0.1,0.0547,0.001085
r91GOr8,rank(working_capital/cap),0.09,0.02,0.0412,0.000371
R9Jz9do,"alpha1=group_rank(working_capital/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.38,0.15,0.1034,0.000397
5rZ5YPN,depre_amort/cap,0.84,1.02,0.0538,0.006803
LEPzoX9,rank(depre_amort/cap),0.51,0.35,0.0445,0.00266
VZvzAP8,"alpha1=group_rank(depre_amort/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.58,0.29,0.1136,0.00055
LEPrWvM,fnd6_ivaco/cap,0.91,0.7,0.0391,0.003744
98zmL5K,rank(fnd6_ivaco/cap),1.04,0.53,0.0227,0.002846
mdP1JZ2,"alpha1=group_rank(fnd6_ivaco/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.07,0.01,0.0457,0.0001
98zmAz1,fnd6_drc/cap,0.29,0.17,0.0375,0.002312
NLX3An7,rank(fnd6_drc/cap),0.79,0.48,0.0267,0.003513
PxJ83LL,"alpha1=group_rank(fnd6_drc/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.42,0.16,0.0609,0.000567
bJYnRPM,fnd6_mrcta/cap,1.08,1.66,0.0478,0.012353
R9JKeje,rank(fnd6_mrcta/cap),0.59,0.34,0.0367,0.002288
AeRmzkw,"alpha1=group_rank(fnd6_mrcta/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.56,0.24,0.07,0.000662
AeRm5mQ,fnd6_fatl/cap,0.66,0.8,0.0525,0.007074
mdPQPN5,rank(fnd6_fatl/cap),1.2,1.15,0.0436,0.005237
oR1Zpj5,"alpha1=group_rank(fnd6_fatl/cap,subindustry);alpha1-last_diff_value(alpha1,66)",1.1,0.81,0.0763,0.001783
dY2vLng,rd_expense/cap,-0.38,-0.36,0.1509,-0.001845
OR1ge6J,rank(rd_expense/cap),0.1,0.02,0.0597,0.000122
5rZY6RJ,"alpha1=group_rank(rd_expense/cap,subindustry);alpha1-last_diff_value(alpha1,66)",-0.6,-0.27,0.0915,-0.000536
1Oq0a0k,interest_expense/cap,0.64,0.67,0.0584,0.004626
w38WlE5,rank(interest_expense/cap),0.83,0.65,0.0453,0.003386
zgve8Qd,"alpha1=group_rank(interest_expense/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.21,0.06,0.1115,0.000183
mdPQKm1,fnd6_ciother/cap,0.49,0.26,0.0377,0.001889
gXYLdMl,rank(fnd6_ciother/cap),0.52,0.21,0.0256,0.001604
KvKZAXN,"alpha1=group_rank(fnd6_ciother/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.22,0.05,0.0484,0.000316
lEL1mnl,fnd6_acdo/cap,0.34,0.21,0.0378,0.002551
dY2P5Zj,rank(fnd6_acdo/cap),0.34,0.18,0.0258,0.002655
PxJAqQ7,"alpha1=group_rank(fnd6_acdo/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.0,0.0,0.0268,1.3e-05
dY2P7Og,fnd6_acodo/cap,0.45,0.26,0.0316,0.002643
PxJAvwK,rank(fnd6_acodo/cap),0.58,0.35,0.0305,0.002962
R9Jv6no,"alpha1=group_rank(fnd6_acodo/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.49,0.22,0.0797,0.000607
xVKEVpg,fnd6_adesinda_curcd/cap,-0.22,-0.15,0.0595,-0.001863
oR1krGv,rank(fnd6_adesinda_curcd/cap),0.03,0.01,0.0282,0.000293
kvxYp76,"alpha1=group_rank(fnd6_adesinda_curcd/cap,subindustry);alpha1-last_diff_value(alpha1,66)",1.02,0.77,0.1027,0.001393
LEP2QvL,fnd6_newa2v1300_rdipeps/cap,0.29,0.24,0.0462,0.003792
bJYglqN,rank(fnd6_newa2v1300_rdipeps/cap),-0.09,-0.03,0.0251,-0.000938
GXqNAXQ,"alpha1=group_rank(fnd6_newa2v1300_rdipeps/cap,subindustry);alpha1-last_diff_value(alpha1,66)",-0.12,-0.03,0.0746,-0.000252
aer8XOx,fnd6_ci/cap,0.21,0.11,0.0522,0.001271
r91wze3,rank(fnd6_ci/cap),0.32,0.18,0.0401,0.001879
6ZnQEPJ,"alpha1=group_rank(fnd6_ci/cap,subindustry);alpha1-last_diff_value(alpha1,66)",-0.01,-0.0,0.078,-9e-06
aer81jv,fnd6_ceql/cap,0.83,0.79,0.0491,0.004576
qOKpx2E,rank(fnd6_ceql/cap),0.39,0.21,0.0411,0.001832
zgvEdmR,"alpha1=group_rank(fnd6_ceql/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.08,0.02,0.0897,9.8e-05
QO1A8LQ,fnd6_acox/cap,0.5,0.3,0.0317,0.002911
R9JwR1j,rank(fnd6_acox/cap),0.63,0.39,0.0304,0.003218
jo5KRwk,"alpha1=group_rank(fnd6_acox/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.44,0.18,0.0779,0.000544
0xb2ojp,fnd6_newqv1300_ancq/cap,0.72,0.69,0.0482,0.004756
73kRQGO,rank(fnd6_newqv1300_ancq/cap),0.33,0.19,0.0371,0.0022
GXq5noZ,"alpha1=group_rank(fnd6_newqv1300_ancq/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.76,0.47,0.1112,0.000851
qOKJ6x1,fnd6_zipcode/cap,-0.1,-0.04,0.0479,-0.000854
PxJm51W,rank(fnd6_zipcode/cap),0.01,0.0,0.0234,5.5e-05
AeR8zYW,"alpha1=group_rank(fnd6_zipcode/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.21,0.07,0.0815,0.000347
bJY1glR,fnd6_intc/cap,0.57,0.47,0.0341,0.005042
R9Jwgw1,rank(fnd6_intc/cap),0.59,0.31,0.0268,0.002557
VZvQV3w,"alpha1=group_rank(fnd6_intc/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.2,0.05,0.0532,0.000267
r91am3o,fnd6_capxv/cap,0.73,1.05,0.0467,0.011042
KvKAq81,rank(fnd6_capxv/cap),0.57,0.38,0.0342,0.003234
eNlMqzl,"alpha1=group_rank(fnd6_capxv/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.02,0.0,0.0863,2.1e-05
0xbZ7gp,fnd6_rea/cap,0.13,0.06,0.0438,0.001094
r91a2l9,rank(fnd6_rea/cap),0.16,0.06,0.0342,0.000988
OR1d8Kq,"alpha1=group_rank(fnd6_rea/cap,subindustry);alpha1-last_diff_value(alpha1,66)",-0.05,-0.01,0.0562,-7.9e-05
8VmWVqv,fnd6_itci/cap,0.23,0.12,0.0498,0.001349
bJY0nvl,rank(fnd6_itci/cap),0.34,0.15,0.0366,0.001307
LEPoYbm,"alpha1=group_rank(fnd6_itci/cap,subindustry);alpha1-last_diff_value(alpha1,66)",-0.11,-0.02,0.0566,-0.000201
8Vm0bgm,fnd6_lcox/cap,0.52,0.36,0.0373,0.003185
1Oq86YR,rank(fnd6_lcox/cap),0.77,0.48,0.0296,0.003332
31MKAkg,"alpha1=group_rank(fnd6_lcox/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.38,0.13,0.0774,0.0004
NLXdQjX,fnd6_state/cap,0.16,0.08,0.0496,0.001375
gXYlW1m,rank(fnd6_state/cap),0.06,0.01,0.023,0.000411
31MKmQz,"alpha1=group_rank(fnd6_state/cap,subindustry);alpha1-last_diff_value(alpha1,66)",-0.13,-0.03,0.0846,-0.000177
dY2G2Xx,fnd6_recd/cap,0.87,0.85,0.0444,0.005405
1OqMkW6,rank(fnd6_recd/cap),0.51,0.31,0.0357,0.002634
oR1d5Rn,"alpha1=group_rank(fnd6_recd/cap,subindustry);alpha1-last_diff_value(alpha1,66)",-0.01,-0.0,0.061,-1.2e-05
OR13vVJ,fnd6_am/cap,0.34,0.21,0.0422,0.002248
KvK1qpk,rank(fnd6_am/cap),0.23,0.1,0.0322,0.001413
vZKQJOG,"alpha1=group_rank(fnd6_am/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.31,0.1,0.0605,0.000446
0xbJ8N6,fnd6_ch/cap,0.69,0.61,0.0416,0.00462
1OqMzXz,rank(fnd6_ch/cap),0.55,0.33,0.0332,0.002787
GXqRdVZ,"alpha1=group_rank(fnd6_ch/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.27,0.09,0.0833,0.0003
Y8jexbv,fnd6_xrent/cap,0.93,1.35,0.0491,0.010658
w38rNkx,rank(fnd6_xrent/cap),0.62,0.4,0.0411,0.002548
5rZX1KX,"alpha1=group_rank(fnd6_xrent/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.54,0.25,0.0814,0.000649
5rZXmrX,fnd6_newqv1300_drltq/cap,0.8,0.65,0.0527,0.003112
pxq9qb3,rank(fnd6_newqv1300_drltq/cap),0.92,0.51,0.0408,0.001876
zgvlpoE,"alpha1=group_rank(fnd6_newqv1300_drltq/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.67,0.31,0.09,0.000577
bJYeVAm,fnd6_txo/cap,0.31,0.2,0.0478,0.002144
r91ZJKE,rank(fnd6_txo/cap),0.36,0.22,0.0305,0.003074
29137wx,"alpha1=group_rank(fnd6_txo/cap,subindustry);alpha1-last_diff_value(alpha1,66)",-0.61,-0.3,0.0649,-0.00091
lELoWel,fnd6_exre/cap,0.01,0.0,0.0423,6.3e-05
nm1LAOa,rank(fnd6_exre/cap),0.69,0.33,0.0273,0.002091
gXYndd0,"alpha1=group_rank(fnd6_exre/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.21,0.05,0.045,0.000332
aekrrl6,rank(fnd6_cik/cap),-0.11,-0.04,0.0233,-0.00117
pxwqAkj,"alpha1=group_rank(fnd6_cik/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.47,0.24,0.0818,0.0008
738kqP1,fnd6_newqv1300_drcq/cap,0.5,0.37,0.0523,0.002652
VZkvYnY,rank(fnd6_newqv1300_drcq/cap),0.89,0.6,0.0485,0.002366
XVgjKpm,"alpha1=group_rank(fnd6_newqv1300_drcq/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.65,0.31,0.0979,0.000565
GXrqeaP,fnd6_newqv1300_acomincq/cap,-0.4,-0.24,0.0509,-0.001704
NL1XQxp,rank(fnd6_newqv1300_acomincq/cap),-0.59,-0.33,0.0465,-0.001698
OR01Jzd,"alpha1=group_rank(fnd6_newqv1300_acomincq/cap,subindustry);alpha1-last_diff_value(alpha1,66)",-0.25,-0.07,0.108,-0.000178
LELPmY9,fnd6_city/cap,-0.47,-0.48,0.0582,-0.004424
LELP2Pe,rank(fnd6_city/cap),-0.07,-0.02,0.0223,-0.000623
EN5ZnaR,"alpha1=group_rank(fnd6_city/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.5,0.26,0.0824,0.000827
LELLPvv,fnd6_weburl/cap,-0.47,-0.48,0.0632,-0.004155
EN55XWK,rank(fnd6_weburl/cap),-0.2,-0.09,0.0233,-0.002107
aekkX9W,"alpha1=group_rank(fnd6_weburl/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.19,0.06,0.0826,0.000327
OR00nWb,fnd6_mfmq_cshprq/cap,0.42,0.33,0.0477,0.003189
29rrN96,rank(fnd6_mfmq_cshprq/cap),0.24,0.11,0.0299,0.001731
w3ppYJY,"alpha1=group_rank(fnd6_mfmq_cshprq/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.58,0.33,0.1051,0.000787
vZRR1lA,fnd6_newa2v1300_ppent/cap,0.98,1.3,0.0431,0.010122
XVggze1,rank(fnd6_newa2v1300_ppent/cap),0.69,0.54,0.0322,0.004734
qOMMJ6A,"alpha1=group_rank(fnd6_newa2v1300_ppent/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.85,0.5,0.093,0.000947
oRm81zb,fnd6_cshtrq/cap,-0.22,-0.17,0.0628,-0.002463
OR0QOrq,rank(fnd6_cshtrq/cap),0.01,0.0,0.0283,0.00012
QOPZlNG,"alpha1=group_rank(fnd6_cshtrq/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.11,0.03,0.0846,0.000185
oRm81zb,fnd6_cshtrq/cap,-0.22,-0.17,0.0628,-0.002463
OR0QOrq,rank(fnd6_cshtrq/cap),0.01,0.0,0.0283,0.00012
QOPZlNG,"alpha1=group_rank(fnd6_cshtrq/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.11,0.03,0.0846,0.000185
LELV5Gv,fnd6_mrc2/cap,0.97,1.47,0.0512,0.011233
98qZMlr,rank(fnd6_mrc2/cap),0.58,0.37,0.0428,0.00239
oRm8X1m,"alpha1=group_rank(fnd6_mrc2/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.83,0.48,0.0837,0.000996
ZgYPJY0,fnd6_cptmfmq_opepsq/cap,-0.12,-0.05,0.0602,-0.000744
5r8xx6z,rank(fnd6_cptmfmq_opepsq/cap),0.32,0.15,0.0379,0.001473
Jojql7e,"alpha1=group_rank(fnd6_cptmfmq_opepsq/cap,subindustry);alpha1-last_diff_value(alpha1,66)",-0.04,-0.0,0.0802,-4.1e-05
zgqZO0E,fnd6_incorp/cap,-0.02,-0.0,0.0444,-0.000232
KvP3G7k,rank(fnd6_incorp/cap),0.29,0.11,0.0234,0.001664
kvqdoPk,"alpha1=group_rank(fnd6_incorp/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.28,0.1,0.09,0.000353
jo2var9,fnd6_teq/cap,0.88,0.84,0.0422,0.005392
1OYel0z,rank(fnd6_teq/cap),0.43,0.25,0.0332,0.002463
Px0NKzq,"alpha1=group_rank(fnd6_teq/cap,subindustry);alpha1-last_diff_value(alpha1,66)",-0.0,-0.0,0.0974,-2e-06
W3jMZ6k,fnd6_cptmfmq_lctq/cap,0.63,0.55,0.0493,0.003904
QOPJZWQ,rank(fnd6_cptmfmq_lctq/cap),0.64,0.48,0.041,0.003469
bJlkMdl,"alpha1=group_rank(fnd6_cptmfmq_lctq/cap,subindustry);alpha1-last_diff_value(alpha1,66)",1.18,0.88,0.1166,0.001201
w3pmnOQ,fnd6_newa1v1300_gp/cap,0.88,1.0,0.0455,0.007037
Ae1WPjR,rank(fnd6_newa1v1300_gp/cap),0.71,0.6,0.0371,0.004852
mdLRa2W,"alpha1=group_rank(fnd6_newa1v1300_gp/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.74,0.39,0.106,0.000656
eN7wWYp,fnd6_loc/cap,-0.51,-0.59,0.0576,-0.005731
aekZmev,rank(fnd6_loc/cap),-0.15,-0.05,0.0227,-0.001362
Y8PGLlv,"alpha1=group_rank(fnd6_loc/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.81,0.52,0.0831,0.001239
