alpha_id,expr,sharpe,fitness,turnover,ic_mean
W3EgE1d,assets/cap,0.89,0.97,0.0451,0.006628
MdjxW1k,rank(assets/cap),0.54,0.39,0.0392,0.003309
w38egod,"alpha1=group_rank(assets/cap,subindustry);alpha1-last_diff_value(alpha1,66)",1.35,1.09,0.1224,0.001334
Mdjxq69,liabilities/cap,0.92,1.04,0.0451,0.007082
mdPXbW9,rank(liabilities/cap),0.72,0.6,0.0374,0.004607
xVKn1gm,"alpha1=group_rank(liabilities/cap,subindustry);alpha1-last_diff_value(alpha1,66)",1.22,0.93,0.1137,0.001275
pxq7W8X,sales/cap,0.89,0.97,0.0487,0.006075
W3EgRVG,rank(sales/cap),0.75,0.64,0.0396,0.004566
jo5gqdQ,"alpha1=group_rank(sales/cap,subindustry);alpha1-last_diff_value(alpha1,66)",1.37,1.02,0.1185,0.001168
pxq6mGj,operating_income/cap,0.02,0.0,0.0628,9.1e-05
98zwLae,rank(operating_income/cap),0.47,0.32,0.0496,0.002304
NLXpMOp,"alpha1=group_rank(operating_income/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.56,0.24,0.1064,0.000427
2917QvP,capex/cap,0.73,1.04,0.0464,0.010903
0xb7EeK,rank(capex/cap),0.61,0.41,0.0338,0.003409
gXY1QJQ,"alpha1=group_rank(capex/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.11,0.02,0.086,0.000129
KvKbv8l,debt/cap,0.67,0.68,0.0571,0.004474
lELVGYA,rank(debt/cap),0.71,0.57,0.0456,0.003511
0xb7ZPK,"alpha1=group_rank(debt/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.77,0.42,0.1057,0.0007
0xbEmMG,ebit/cap,0.57,0.49,0.047,0.003929
ENZEXjP,rank(ebit/cap),0.54,0.42,0.0364,0.004163
aernnM1,"alpha1=group_rank(ebit/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.35,0.13,0.0966,0.000364
QO1VbEp,ebitda/cap,0.74,0.8,0.0465,0.006237
MdjQYp8,rank(ebitda/cap),0.52,0.4,0.0372,0.004031
1OqdlOX,"alpha1=group_rank(ebitda/cap,subindustry);alpha1-last_diff_value(alpha1,66)",0.46,0.2,0.0963,0.000476
73k1rzL,equity/cap,0.71,0.61,0.0484,0.00376
lELlnd5,rank(equity/cap),0.32,0.15,0.0393,0.001421
zgvRvKE,"alpha1=group_rank(equity/cap,subindustry);alpha1-last_diff_value(alpha1,66)",-0.09,-0.02,0.1147,-8.8e-05
MdjLWVa,enterprise_value/cap,0.42,0.3,0.0596,0.002202
